pollutant,demand_adjust,price_adjust,price_unit,output_unit
CO2,3.667,1.000,1990$/tC,MtC
CH4,25,6.818,1990$/GgCH4,TgCH4
CH4_AWB,25,6.818,1990$/GgCH4,TgCH4
CH4_AGR,25,6.818,1990$/GgCH4,TgCH4
N2O,298,81.265,1990$/GgN2O,TgN2O
N2O_AWB,298,81.265,1990$/GgN2O,TgN2O
N2O_AGR,298,81.265,1990$/GgN2O,TgN2O
C2F6,12.2,3.327,1990$/MgC2F6,GgC2F6
CF4,7.39,2.015,1990$/MgCF4,GgCF4
SF6,22.8,6.218,1990$/MgSF6,GgSF6
HFC23,14.8,4.036,1990$/MgHFC23,GgHFC23
HFC32,0.675,0.184,1990$/MgHFC32,GgHFC32
HFC125,3.5,0.954,1990$/MgHFC125,GgHFC125
HFC134a,1.43,0.390,1990$/MgHFC134a,GgHFC134a
HFC143a,4.47,1.219,1990$/MgHFC143a,GgHFC143a
HFC152a,0.124,0.034,1990$/MgHFC152a,GgHFC152a
HFC227ea,3.2,0.873,1990$/MgHFC227ea,GgHFC227ea
HFC43,1.64,0.447,1990$/MgHFC43,GgHFC43
HFC236fa,9.81,2.675,1990$/MgHFC236fa,GgHFC236fa
HFC365mfc,0.794,0.217,1990$/MgHFC365mfc,GgHFC365mfc
HFC245fa,1.03,0.281,1990$/MgHFC245fa,GgHFC245fa
